Feature,Importance
V14,0.3284330209456828
V17,0.191944937655585
V12,0.10403708836195784
V10,0.06975317945377729
V3,0.06124771606037588
V16,0.04568571890249389
V4,0.035287226518937634
V9,0.025205691864946027
V2,0.02137762884032452
V7,0.01192807919001965
V18,0.01070106741120918
V19,0.008512809168685197
V11,0.007153231876542552
V1,0.007103791139174631
V5,0.006978130778831772
Amount,0.005602468079130558
V26,0.0054351185404068894
V8,0.005142363422200399
V13,0.005110979182920201
V21,0.004730619335233047
V24,0.00464876209339447
V20,0.004409388188784247
V27,0.0043799530152358775
V15,0.004118258811992624
V6,0.004032287616238516
V28,0.0037293964900695655
V23,0.003477947495969055
V25,0.003357786583124662
Time,0.0033096333588261547
V22,0.0031657196179298622
